model,sb,day,time,trial,acc
ecnn0,1,1,AM,1,0.9847058823529412
ecnn0,1,1,AM,2,0.9882894186532832
ecnn0,1,1,AM,3,0.7890749601275917
ecnn0,1,1,AM,4,0.9846217788861179
ecnn0,1,1,AM,5,0.9896373056994818
ecnn0,1,1,AM,6,0.9910941475826972
ecnn0,1,1,AM,7,0.9869174161896974
ecnn0,1,1,AM,8,0.9932346723044396
ecnn0,1,1,AM,9,0.8255528255528255
ecnn0,1,1,AM,10,0.9808006535947712
ecnn0,1,1,AM,11,0.9919710959454034
ecnn0,1,1,AM,12,0.9954147561483953
ecnn0,1,1,PM,1,0.987063896511172
ecnn0,1,1,PM,2,0.98452530322041
ecnn0,1,1,PM,3,0.77265625
ecnn0,1,1,PM,4,0.986782321354812
ecnn0,1,1,PM,5,0.9832602630530092
ecnn0,1,1,PM,6,0.9885151763740772
ecnn0,1,1,PM,7,0.9848424411647388
ecnn0,1,1,PM,8,0.9891304347826086
ecnn0,1,1,PM,9,0.7604623355918693
ecnn0,1,1,PM,10,0.9767346938775512
ecnn0,1,1,PM,11,0.9903769045709704
ecnn0,1,1,PM,12,0.981403212172443
ecnn0,1,2,AM,1,0.7206658546488023
ecnn0,1,2,AM,2,0.7210855949895616
ecnn0,1,2,AM,3,0.7426500201369312
ecnn0,1,2,AM,4,0.6825528387898881
ecnn0,1,2,AM,5,0.7001219016659894
ecnn0,1,2,AM,6,0.71571072319202
ecnn0,1,2,AM,7,0.722531847133758
ecnn0,1,2,AM,8,0.6770057899090157
ecnn0,1,2,AM,9,0.7253886010362695
ecnn0,1,2,AM,10,0.6670912951167728
ecnn0,1,2,AM,11,0.7063048683160414
ecnn0,1,2,AM,12,0.6949711459192086
ecnn0,1,2,PM,1,0.6047734627831716
ecnn0,1,2,PM,2,0.6665278934221482
ecnn0,1,2,PM,3,0.6704316256555063
ecnn0,1,2,PM,4,0.6779661016949152
ecnn0,1,2,PM,5,0.6277551020408163
ecnn0,1,2,PM,6,0.6244725738396625
ecnn0,1,2,PM,7,0.6442348906986712
ecnn0,1,2,PM,8,0.707357172215372
ecnn0,1,2,PM,9,0.6678787878787878
ecnn0,1,2,PM,10,0.7108829568788501
ecnn0,1,2,PM,11,0.6960823110407598
ecnn0,1,2,PM,12,0.7528925619834711
ecnn0,1,3,AM,1,0.6632316570486397
ecnn0,1,3,AM,2,0.5954807266282676
ecnn0,1,3,AM,3,0.6669294442254632
ecnn0,1,3,AM,4,0.5857885615251299
ecnn0,1,3,AM,5,0.7242497972424979
ecnn0,1,3,AM,6,0.6265769554247267
ecnn0,1,3,AM,7,0.6863468634686347
ecnn0,1,3,AM,8,0.6610824742268041
ecnn0,1,3,AM,9,0.6990049751243781
ecnn0,1,3,AM,10,0.7003140421713773
ecnn0,1,3,AM,11,0.6937119675456389
ecnn0,1,3,AM,12,0.6887931034482758
ecnn0,1,3,PM,1,0.472734899328859
ecnn0,1,3,PM,2,0.506872852233677
ecnn0,1,3,PM,3,0.5426195426195426
ecnn0,1,3,PM,4,0.5283824157063594
ecnn0,1,3,PM,5,0.4810281517747858
ecnn0,1,3,PM,6,0.5434317501069748
ecnn0,1,3,PM,7,0.4803921568627451
ecnn0,1,3,PM,8,0.5788146279949559
ecnn0,1,3,PM,9,0.5172117039586919
ecnn0,1,3,PM,10,0.5224454895254382
ecnn0,1,3,PM,11,0.4603434178250204
ecnn0,1,3,PM,12,0.4736842105263158
ecnn0,1,4,AM,1,0.6959737058340181
ecnn0,1,4,AM,2,0.6536912751677852
ecnn0,1,4,AM,3,0.6298755186721992
ecnn0,1,4,AM,4,0.6571184266780675
ecnn0,1,4,AM,5,0.7282174260591526
ecnn0,1,4,AM,6,0.7271164589600344
ecnn0,1,4,AM,7,0.7260726072607261
ecnn0,1,4,AM,8,0.6670945656824989
ecnn0,1,4,AM,9,0.7308160779537151
ecnn0,1,4,AM,10,0.7121019108280254
ecnn0,1,4,AM,11,0.6501457725947521
ecnn0,1,4,AM,12,0.6475272422464375
ecnn0,1,4,PM,1,0.7383292383292384
ecnn0,1,4,PM,2,0.6953586497890295
ecnn0,1,4,PM,3,0.7082251082251082
ecnn0,1,4,PM,4,0.6979726934215971
ecnn0,1,4,PM,5,0.7127094401307724
ecnn0,1,4,PM,6,0.6494719740048741
ecnn0,1,4,PM,7,0.7038854805725971
ecnn0,1,4,PM,8,0.6911643270024773
ecnn0,1,4,PM,9,0.711593609176567
ecnn0,1,4,PM,10,0.6693790149892933
ecnn0,1,4,PM,11,0.6623807548734965
ecnn0,1,4,PM,12,0.6883996613039797
ecnn0,1,5,AM,1,0.6220637583892618
ecnn0,1,5,AM,2,0.5569296375266525
ecnn0,1,5,AM,3,0.6597692001591723
ecnn0,1,5,AM,4,0.6383890317052271
ecnn0,1,5,AM,5,0.6474384832593788
ecnn0,1,5,AM,6,0.5956447480785654
ecnn0,1,5,AM,7,0.5576311605723371
ecnn0,1,5,AM,8,0.52
ecnn0,1,5,AM,9,0.6404123711340206
ecnn0,1,5,AM,10,0.6165540540540541
ecnn0,1,5,AM,11,0.6618299072954453
ecnn0,1,5,AM,12,0.6170651277823578
ecnn0,1,5,PM,1,0.6196682464454977
ecnn0,1,5,PM,2,0.5967673330497659
ecnn0,1,5,PM,3,0.6540016168148747
ecnn0,1,5,PM,4,0.6609315988250105
ecnn0,1,5,PM,5,0.6630007855459544
ecnn0,1,5,PM,6,0.7085053674649051
ecnn0,1,5,PM,7,0.6399679615538646
ecnn0,1,5,PM,8,0.6593360995850622
ecnn0,1,5,PM,9,0.6324752475247525
ecnn0,1,5,PM,10,0.6287940935192781
ecnn0,1,5,PM,11,0.662505034232783
ecnn0,1,5,PM,12,0.6416135881104034
ecnn1,1,1,AM,1,0.904313725490196
ecnn1,1,1,AM,2,0.9104976997072356
ecnn1,1,1,AM,3,0.7440191387559809
ecnn1,1,1,AM,4,0.9089775561097256
ecnn1,1,1,AM,5,0.9166998804304504
ecnn1,1,1,AM,6,0.9198473282442748
ecnn1,1,1,AM,7,0.9231398201144726
ecnn1,1,1,AM,8,0.9412262156448205
ecnn1,1,1,AM,9,0.7858312858312858
ecnn1,1,1,AM,10,0.8897058823529411
ecnn1,1,1,AM,11,0.9144921718185468
ecnn1,1,1,AM,12,0.9249687369737388
ecnn1,1,1,PM,1,0.9059192473539788
ecnn1,1,1,PM,2,0.9184441656210792
ecnn1,1,1,PM,3,0.770703125
ecnn1,1,1,PM,4,0.8988021478727798
ecnn1,1,1,PM,5,0.8756476683937824
ecnn1,1,1,PM,6,0.9183757178014766
ecnn1,1,1,PM,7,0.8827283605903471
ecnn1,1,1,PM,8,0.9389632107023412
ecnn1,1,1,PM,9,0.7337584695097649
ecnn1,1,1,PM,10,0.9106122448979592
ecnn1,1,1,PM,11,0.9153969526864476
ecnn1,1,1,PM,12,0.9175824175824177
ecnn1,1,2,AM,1,0.6857490864799025
ecnn1,1,2,AM,2,0.6922755741127349
ecnn1,1,2,AM,3,0.7466774063632703
ecnn1,1,2,AM,4,0.641110650642354
ecnn1,1,2,AM,5,0.7045916294189354
ecnn1,1,2,AM,6,0.6783042394014963
ecnn1,1,2,AM,7,0.7352707006369427
ecnn1,1,2,AM,8,0.7026468155500414
ecnn1,1,2,AM,9,0.7210043842168194
ecnn1,1,2,AM,10,0.6679405520169851
ecnn1,1,2,AM,11,0.7011173184357542
ecnn1,1,2,AM,12,0.6504534212695795
ecnn1,1,2,PM,1,0.5825242718446602
ecnn1,1,2,PM,2,0.6303080766028311
ecnn1,1,2,PM,3,0.6107301331181928
ecnn1,1,2,PM,4,0.649028524183547
ecnn1,1,2,PM,5,0.5938775510204082
ecnn1,1,2,PM,6,0.60084388185654
ecnn1,1,2,PM,7,0.6348049721388771
ecnn1,1,2,PM,8,0.6831072749691739
ecnn1,1,2,PM,9,0.6432323232323233
ecnn1,1,2,PM,10,0.6644763860369611
ecnn1,1,2,PM,11,0.664424218440839
ecnn1,1,2,PM,12,0.7057851239669422
ecnn1,1,3,AM,1,0.6488046166529267
ecnn1,1,3,AM,2,0.5928223305272485
ecnn1,1,3,AM,3,0.6420969649191959
ecnn1,1,3,AM,4,0.5957538994800693
ecnn1,1,3,AM,5,0.6954582319545823
ecnn1,1,3,AM,6,0.6433978132884777
ecnn1,1,3,AM,7,0.6560065600656007
ecnn1,1,3,AM,8,0.6817010309278351
ecnn1,1,3,AM,9,0.7068822553897179
ecnn1,1,3,AM,10,0.7258860475549573
ecnn1,1,3,AM,11,0.6831643002028398
ecnn1,1,3,AM,12,0.7107758620689655
ecnn1,1,3,PM,1,0.4903523489932886
ecnn1,1,3,PM,2,0.5266323024054983
ecnn1,1,3,PM,3,0.5667359667359667
ecnn1,1,3,PM,4,0.5138711054204012
ecnn1,1,3,PM,5,0.4814361485108119
ecnn1,1,3,PM,6,0.5528455284552846
ecnn1,1,3,PM,7,0.5069444444444444
ecnn1,1,3,PM,8,0.6162253047498949
ecnn1,1,3,PM,9,0.5172117039586919
ecnn1,1,3,PM,10,0.5275758871312527
ecnn1,1,3,PM,11,0.4824202780049059
ecnn1,1,3,PM,12,0.5150992234685073
ecnn1,1,4,AM,1,0.6750205423171733
ecnn1,1,4,AM,2,0.6532438478747203
ecnn1,1,4,AM,3,0.5917012448132779
ecnn1,1,4,AM,4,0.6336041043180847
ecnn1,1,4,AM,5,0.7090327737809752
ecnn1,1,4,AM,6,0.6884400515685432
ecnn1,1,4,AM,7,0.7165841584158416
ecnn1,1,4,AM,8,0.6401369276850664
ecnn1,1,4,AM,9,0.6995533901745838
ecnn1,1,4,AM,10,0.6666666666666666
ecnn1,1,4,AM,11,0.6551436901291129
ecnn1,1,4,AM,12,0.6051969823973177
ecnn1,1,4,PM,1,0.7698607698607699
ecnn1,1,4,PM,2,0.7168776371308017
ecnn1,1,4,PM,3,0.7281385281385281
ecnn1,1,4,PM,4,0.6818369880016549
ecnn1,1,4,PM,5,0.7237433592153657
ecnn1,1,4,PM,6,0.6803411860276198
ecnn1,1,4,PM,7,0.7251533742331289
ecnn1,1,4,PM,8,0.6882741535920727
ecnn1,1,4,PM,9,0.7357640311347808
ecnn1,1,4,PM,10,0.6629550321199144
ecnn1,1,4,PM,11,0.6540854417254252
ecnn1,1,4,PM,12,0.6536833192209992
ecnn1,1,5,AM,1,0.602768456375839
ecnn1,1,5,AM,2,0.5628997867803838
ecnn1,1,5,AM,3,0.634699562276164
ecnn1,1,5,AM,4,0.6495287060839761
ecnn1,1,5,AM,5,0.5897539330375151
ecnn1,1,5,AM,6,0.6135781383432963
ecnn1,1,5,AM,7,0.5425278219395866
ecnn1,1,5,AM,8,0.5304166666666666
ecnn1,1,5,AM,9,0.6247422680412371
ecnn1,1,5,AM,10,0.5933277027027027
ecnn1,1,5,AM,11,0.6505441354292624
ecnn1,1,5,AM,12,0.6323165704863973
ecnn1,1,5,PM,1,0.6090047393364929
ecnn1,1,5,PM,2,0.5980433857932794
ecnn1,1,5,PM,3,0.6467259498787389
ecnn1,1,5,PM,4,0.6433067561896769
ecnn1,1,5,PM,5,0.6256873527101335
ecnn1,1,5,PM,6,0.6796036333608588
ecnn1,1,5,PM,7,0.5959150981177412
ecnn1,1,5,PM,8,0.6535269709543569
ecnn1,1,5,PM,9,0.6300990099009901
ecnn1,1,5,PM,10,0.6390484003281378
ecnn1,1,5,PM,11,0.6556584776480064
ecnn1,1,5,PM,12,0.6501061571125265
ecnn2,1,1,AM,1,0.696078431372549
ecnn2,1,1,AM,2,0.5968214136344626
ecnn2,1,1,AM,3,0.5303030303030303
ecnn2,1,1,AM,4,0.556525353283458
ecnn2,1,1,AM,5,0.5862893583100837
ecnn2,1,1,AM,6,0.5712468193384224
ecnn2,1,1,AM,7,0.6962387571545381
ecnn2,1,1,AM,8,0.6422832980972516
ecnn2,1,1,AM,9,0.6109746109746109
ecnn2,1,1,AM,10,0.6209150326797386
ecnn2,1,1,AM,11,0.6322761942994781
ecnn2,1,1,AM,12,0.5981659024593581
ecnn2,1,1,PM,1,0.6381811054488435
ecnn2,1,1,PM,2,0.6231702216645755
ecnn2,1,1,PM,3,0.607421875
ecnn2,1,1,PM,4,0.5844692275919041
ecnn2,1,1,PM,5,0.6345157433240335
ecnn2,1,1,PM,6,0.6119770303527482
ecnn2,1,1,PM,7,0.6673314718787395
ecnn2,1,1,PM,8,0.6158026755852842
ecnn2,1,1,PM,9,0.5727381426863292
ecnn2,1,1,PM,10,0.5746938775510204
ecnn2,1,1,PM,11,0.6856455493183641
ecnn2,1,1,PM,12,0.6166525781910397
ecnn2,1,2,AM,1,0.5509541209906618
ecnn2,1,2,AM,2,0.4634655532359082
ecnn2,1,2,AM,3,0.5296012887635925
ecnn2,1,2,AM,4,0.4359718193120597
ecnn2,1,2,AM,5,0.5249898415278342
ecnn2,1,2,AM,6,0.4538653366583541
ecnn2,1,2,AM,7,0.5386146496815286
ecnn2,1,2,AM,8,0.5045492142266336
ecnn2,1,2,AM,9,0.5910721402949383
ecnn2,1,2,AM,10,0.473036093418259
ecnn2,1,2,AM,11,0.577414205905826
ecnn2,1,2,AM,12,0.4443528441879637
ecnn2,1,2,PM,1,0.5351941747572816
ecnn2,1,2,PM,2,0.4983347210657785
ecnn2,1,2,PM,3,0.5018152480839048
ecnn2,1,2,PM,4,0.4770566349731294
ecnn2,1,2,PM,5,0.5285714285714286
ecnn2,1,2,PM,6,0.5248945147679325
ecnn2,1,2,PM,7,0.4856408058294042
ecnn2,1,2,PM,8,0.4899301274147144
ecnn2,1,2,PM,9,0.5442424242424242
ecnn2,1,2,PM,10,0.5367556468172484
ecnn2,1,2,PM,11,0.5670755836960824
ecnn2,1,2,PM,12,0.5322314049586777
ecnn2,1,3,AM,1,0.5333882934872217
ecnn2,1,3,AM,2,0.4288879042977404
ecnn2,1,3,AM,3,0.5171462357114702
ecnn2,1,3,AM,4,0.4536395147313692
ecnn2,1,3,AM,5,0.5373073803730738
ecnn2,1,3,AM,6,0.5071488645920942
ecnn2,1,3,AM,7,0.4756047560475605
ecnn2,1,3,AM,8,0.44716494845360827
ecnn2,1,3,AM,9,0.5398009950248757
ecnn2,1,3,AM,10,0.4925975773889637
ecnn2,1,3,AM,11,0.5367139959432049
ecnn2,1,3,AM,12,0.5120689655172413
ecnn2,1,3,PM,1,0.4072986577181208
ecnn2,1,3,PM,2,0.4140893470790378
ecnn2,1,3,PM,3,0.4328482328482329
ecnn2,1,3,PM,4,0.3696116090482288
ecnn2,1,3,PM,5,0.40922072623419015
ecnn2,1,3,PM,6,0.3804022250748823
ecnn2,1,3,PM,7,0.40727124183006536
ecnn2,1,3,PM,8,0.4329550231189576
ecnn2,1,3,PM,9,0.3941480206540448
ecnn2,1,3,PM,10,0.3924754168448055
ecnn2,1,3,PM,11,0.3789860997547016
ecnn2,1,3,PM,12,0.4188955996548749
ecnn2,1,4,AM,1,0.5493015612161052
ecnn2,1,4,AM,2,0.5686800894854586
ecnn2,1,4,AM,3,0.4946058091286307
ecnn2,1,4,AM,4,0.5036340316374519
ecnn2,1,4,AM,5,0.5907274180655475
ecnn2,1,4,AM,6,0.5504941985388913
ecnn2,1,4,AM,7,0.5676567656765676
ecnn2,1,4,AM,8,0.5160462130937099
ecnn2,1,4,AM,9,0.5972391392610638
ecnn2,1,4,AM,10,0.5333333333333333
ecnn2,1,4,AM,11,0.521865889212828
ecnn2,1,4,AM,12,0.5234702430846605
ecnn2,1,4,PM,1,0.5204750204750205
ecnn2,1,4,PM,2,0.4409282700421941
ecnn2,1,4,PM,3,0.4692640692640693
ecnn2,1,4,PM,4,0.4240794373189905
ecnn2,1,4,PM,5,0.4940743767879036
ecnn2,1,4,PM,6,0.4130787977254265
ecnn2,1,4,PM,7,0.4793456032719837
ecnn2,1,4,PM,8,0.4331131296449216
ecnn2,1,4,PM,9,0.5247849242113888
ecnn2,1,4,PM,10,0.4158458244111349
ecnn2,1,4,PM,11,0.5271671505599337
ecnn2,1,4,PM,12,0.4614733276883997
ecnn2,1,5,AM,1,0.5364932885906041
ecnn2,1,5,AM,2,0.3803837953091685
ecnn2,1,5,AM,3,0.4691603660962992
ecnn2,1,5,AM,4,0.4605826906598115
ecnn2,1,5,AM,5,0.518354175070593
ecnn2,1,5,AM,6,0.3454312553373185
ecnn2,1,5,AM,7,0.4407790143084261
ecnn2,1,5,AM,8,0.305
ecnn2,1,5,AM,9,0.4721649484536082
ecnn2,1,5,AM,10,0.4163851351351352
ecnn2,1,5,AM,11,0.467956469165659
ecnn2,1,5,AM,12,0.3173948887056884
ecnn2,1,5,PM,1,0.5086887835703001
ecnn2,1,5,PM,2,0.3730327520204169
ecnn2,1,5,PM,3,0.5052546483427648
ecnn2,1,5,PM,4,0.4720939991607218
ecnn2,1,5,PM,5,0.4988216810683425
ecnn2,1,5,PM,6,0.4405450041288192
ecnn2,1,5,PM,7,0.4833800560672808
ecnn2,1,5,PM,8,0.41244813278008297
ecnn2,1,5,PM,9,0.4986138613861386
ecnn2,1,5,PM,10,0.4097621000820345
ecnn2,1,5,PM,11,0.5022150624244865
ecnn2,1,5,PM,12,0.475583864118896
ecnn3,1,1,AM,1,0.9615686274509804
ecnn3,1,1,AM,2,0.9339188624006692
ecnn3,1,1,AM,3,0.6961722488038278
ecnn3,1,1,AM,4,0.92643391521197
ecnn3,1,1,AM,5,0.9517736149860502
ecnn3,1,1,AM,6,0.9406276505513148
ecnn3,1,1,AM,7,0.9533932951757972
ecnn3,1,1,AM,8,0.955602536997886
ecnn3,1,1,AM,9,0.7616707616707616
ecnn3,1,1,AM,10,0.9219771241830066
ecnn3,1,1,AM,11,0.9494179044560418
ecnn3,1,1,AM,12,0.9499791579824928
ecnn3,1,1,PM,1,0.9698157585260682
ecnn3,1,1,PM,2,0.9661229611041404
ecnn3,1,1,PM,3,0.740234375
ecnn3,1,1,PM,4,0.9533250722841801
ecnn3,1,1,PM,5,0.9525707453168591
ecnn3,1,1,PM,6,0.9671862182116489
ecnn3,1,1,PM,7,0.9393697646589548
ecnn3,1,1,PM,8,0.9389632107023412
ecnn3,1,1,PM,9,0.7150259067357513
ecnn3,1,1,PM,10,0.9432653061224492
ecnn3,1,1,PM,11,0.967121090617482
ecnn3,1,1,PM,12,0.9437869822485208
ecnn3,1,2,AM,1,0.6837190418189201
ecnn3,1,2,AM,2,0.619624217118998
ecnn3,1,2,AM,3,0.6814337494965768
ecnn3,1,2,AM,4,0.5826771653543307
ecnn3,1,2,AM,5,0.6184477854530679
ecnn3,1,2,AM,6,0.6093100581878637
ecnn3,1,2,AM,7,0.6839171974522293
ecnn3,1,2,AM,8,0.6236559139784946
ecnn3,1,2,AM,9,0.689916301315265
ecnn3,1,2,AM,10,0.6250530785562632
ecnn3,1,2,AM,11,0.7027134876296888
ecnn3,1,2,AM,12,0.6104699093157461
ecnn3,1,2,PM,1,0.6262135922330098
ecnn3,1,2,PM,2,0.6144879267277269
ecnn3,1,2,PM,3,0.6482452601855587
ecnn3,1,2,PM,4,0.6081025217031831
ecnn3,1,2,PM,5,0.636734693877551
ecnn3,1,2,PM,6,0.6244725738396625
ecnn3,1,2,PM,7,0.642091727389627
ecnn3,1,2,PM,8,0.6346074804767776
ecnn3,1,2,PM,9,0.665050505050505
ecnn3,1,2,PM,10,0.6899383983572895
ecnn3,1,2,PM,11,0.7269489513256826
ecnn3,1,2,PM,12,0.721900826446281
ecnn3,1,3,AM,1,0.6471558120362737
ecnn3,1,3,AM,2,0.5396544085068675
ecnn3,1,3,AM,3,0.6255419787150177
ecnn3,1,3,AM,4,0.5021663778162911
ecnn3,1,3,AM,5,0.6711273317112734
ecnn3,1,3,AM,6,0.6173254835996635
ecnn3,1,3,AM,7,0.6363263632636327
ecnn3,1,3,AM,8,0.5983676975945017
ecnn3,1,3,AM,9,0.6674958540630183
ecnn3,1,3,AM,10,0.6460296096904441
ecnn3,1,3,AM,11,0.6734279918864098
ecnn3,1,3,AM,12,0.7017241379310345
ecnn3,1,3,PM,1,0.5574664429530202
ecnn3,1,3,PM,2,0.572594501718213
ecnn3,1,3,PM,3,0.5613305613305614
ecnn3,1,3,PM,4,0.5616730687153222
ecnn3,1,3,PM,5,0.5083639330885353
ecnn3,1,3,PM,6,0.5934959349593496
ecnn3,1,3,PM,7,0.5334967320261438
ecnn3,1,3,PM,8,0.5809163514081547
ecnn3,1,3,PM,9,0.5275387263339071
ecnn3,1,3,PM,10,0.563061137238136
ecnn3,1,3,PM,11,0.5474243663123467
ecnn3,1,3,PM,12,0.5526315789473685
ecnn3,1,4,AM,1,0.6803615447822514
ecnn3,1,4,AM,2,0.640268456375839
ecnn3,1,4,AM,3,0.6149377593360996
ecnn3,1,4,AM,4,0.6220607097050022
ecnn3,1,4,AM,5,0.706634692246203
ecnn3,1,4,AM,6,0.6794155565105285
ecnn3,1,4,AM,7,0.6976072607260726
ecnn3,1,4,AM,8,0.6508344030808729
ecnn3,1,4,AM,9,0.7283800243605358
ecnn3,1,4,AM,10,0.6874734607218683
ecnn3,1,4,AM,11,0.6501457725947521
ecnn3,1,4,AM,12,0.6244761106454317
ecnn3,1,4,PM,1,0.6871416871416871
ecnn3,1,4,PM,2,0.6535864978902953
ecnn3,1,4,PM,3,0.6597402597402597
ecnn3,1,4,PM,4,0.6404633843607779
ecnn3,1,4,PM,5,0.6787903555373928
ecnn3,1,4,PM,6,0.5576766856214461
ecnn3,1,4,PM,7,0.6605316973415133
ecnn3,1,4,PM,8,0.6407927332782825
ecnn3,1,4,PM,9,0.6640721015977059
ecnn3,1,4,PM,10,0.5597430406852248
ecnn3,1,4,PM,11,0.6656988801327249
ecnn3,1,4,PM,12,0.6079593564775614
ecnn3,1,5,AM,1,0.6103187919463087
ecnn3,1,5,AM,2,0.5181236673773987
ecnn3,1,5,AM,3,0.6167926780740152
ecnn3,1,5,AM,4,0.565981148243359
ecnn3,1,5,AM,5,0.6603469140782574
ecnn3,1,5,AM,6,0.5204953031596926
ecnn3,1,5,AM,7,0.5631955484896661
ecnn3,1,5,AM,8,0.4591666666666666
ecnn3,1,5,AM,9,0.6189690721649485
ecnn3,1,5,AM,10,0.5481418918918919
ecnn3,1,5,AM,11,0.6017734784361145
ecnn3,1,5,AM,12,0.5218466611706513
ecnn3,1,5,PM,1,0.5916271721958926
ecnn3,1,5,PM,2,0.5299872394725649
ecnn3,1,5,PM,3,0.5970088924818109
ecnn3,1,5,PM,4,0.5895929500629459
ecnn3,1,5,PM,5,0.617439120188531
ecnn3,1,5,PM,6,0.615606936416185
ecnn3,1,5,PM,7,0.5963155786944333
ecnn3,1,5,PM,8,0.58298755186722
ecnn3,1,5,PM,9,0.5786138613861386
ecnn3,1,5,PM,10,0.5471698113207547
ecnn3,1,5,PM,11,0.6093435360451067
